abato	аббат.
metronomo	муз.  метроном.
metroo	метро, метрополитен;
metropoliteno	см. metroo.
metropolo	1. метрополия;  2. столица (по отношению к остальной стране  = cxefurbo).
mevo	орн.  чайка (общее название).
mezalianco	мезальянс, неравный брак (в социальном плане).
mezo	середина;
mezuri	vt мерить, измерять, замерить, замерять;
mi	Σ! 1. pers pron я. // муз.  ми.
miasmo	миазм.
miauxi	vn мяукать (= katbleki).
mielo	мёд.
mieno	1. выражение лица, мина; 2. мед.  маска (выражение лица, свойственное определённой болезни); 3. инф.  «смайлик», эмограмма;
migdalo	бот.  миндаль (плод).
migri	vn странствовать, кочевать, переселяться с места на место, мигрировать (тж. о животных);
mikrobo	микроб.
mikrofono	микрофон.
mikrometro	тех.  микрометр.
mikroskopo	микроскоп.
miksi	vt 1. прям. , перен.  (с)мешать, смешивать, перемешивать; 2. карт.  тасовать, перетасовывать;
miksturo	микстура.
mil	num тысяча.
milda	тихий, мягкий, умеренный, кроткий, нежный.
mileo	бот. просо посевное (= milia panico; тж. по отношению к ряду сходных с просо злаков: сорго, щетиннику и др.);
miliardo	миллиард.
milicio	милиция (добровольная нерегулярная армия); (народное) ополчение.
milico	оч.сомнит. милиция (добровольная нерегулярная армия); (народное) ополчение.
milio	бот.  1. бор (род растений семейства злаковых); 2. уст. , редк. , см.  mileo, milia panico.
miliono	миллион.
militi	vn воевать, вести войну, сражаться на войне.
milvo	орн.  коршун.
mimo	театр.  мим, мимист, актёр пантомимы (= pantomimisto).
mimozo	бот.  мимоза.
minaci	1. vt (iun, ion) угрожать, грозить, грозиться (кому-л., чему-л.); 2. (с последующим инфинитивом) угрожать, грозить, грозиться;
minareto	архит.  минарет.
minca	поэт. тонкий (= maldika).
mineralo	минерал; геол.  ископаемое.
mineralogo	минералог.
mini-	приставка мини-, обозначающая маленький размер чего-л.:
miniaturo	иск.  миниатюра.
minimumo	минимум;
minio	хим.  сурик; окись свинца.
ministerio	см. ministrejo;
ministro	министр.
mino	Σ! 1. геол.  (горная) выработка, шток, забой;  2. воен.  подкоп для закладки мины, минная галерея;  скважина или выбоина под мину;  3. воен.  мина (но не миномётная!). // мина (денежная единица в Древней Греции;  мера веса на Древнем Востоке, в Древней и современной Греции).
minora	минорный (тж. муз.); малый (тж. анат.); меньший, менее значительный, младший, второстепенный (из двух предметов, классов, категорий и т.п.);
minus	konj минус.
minusklo	маленькая, строчная буква (= etlitero);
minuto	минута (тж. мат.).
miogalo	зоол.  выхухоль.
miopa	прям., перен.  близорукий, мед.  миопический.
miozoto	бот.  незабудка (= neforgesumino).
mirabelo	бот. мирабель (плод);
miragxo	прям., перен. мираж, марево.
miraklo	1. чудо (сверхъестественное явление); 2. см.  mirindajxo;
mirho	мирра, мирр (ароматическая смола).
miri	vn удивляться, изумляться, дивиться.
miriado	неисчислимое множество, несметное число.
mirtelo	бот.  1. черника (растение);  2. см.  mirtelbero.
mirto	бот. мирт, мирта.
misio	разн.  миссия (но не миссионерская организация!).
mistero	тайна; таинство (тж. церк.); мистерия (тж. ист.).
mistifiki	vt мистифицировать; разыгрывать (кого-л.); (о)дурачить.
mistika	мистический, мистичный.
mitingo	митинг, сходка;
mito	разн.  миф.
mitologo	мифолог.
mitro	митра (головной убор епископов);
mitulo	мидия (съедобный двустворчатый моллюск).
mizerikordo	поэт., рел. милосердие, милость, сердобольство, сердоболие (= korfavoro); сострадательное снисхождение (= kompata indulgo);
mizero	нужда, нищета, убожество; жалкое, бедственное состояние.
mnemoniko	мнемоника, мнемотехника (= memorarto).
mobilizi	vt разн.  мобилизовать.
modelo	1. модель, образец;  2. модель (человек, с которого делается портрет, статуя и т.п. или который демонстрирует модную одежду);
modemo	инф. модем.
modera	умеренный; воздерж(ан)ный; сдержанный; скромный; доступный (о цене).
moderna	современный.
modesta	скромный, непритязательный.
modifi	vt (видо)изменять, модифицировать.
modli	vt формовать, лепить, вылепить, слепить;
modo	1. мода; 2. грам.  наклонение;  ср.  indikativo, kondicionalo, imperativo, volitivo, optativo, subjunktivo;  3. мат.  мода;  4. см.  modalo .3;
moduli	Σ! vt муз., тел., рад.  модулировать;  ~o  оч.редк. , см.  ~ado. // 1. разн. ~o модуль;  2. инф.  модуль, подпрограмма;  3. спец.  диаметр медали или монеты.
moki	vt насмехаться над, насмешничать над, издеваться над, о(б)смеивать, высмеивать, вышучивать.
mola	Σ! 1¶  разн.  мягкий;    2¶  хим.  моль, грамм-молекула (= grammolekulo);
molekulo	физ., хим.  молекула.
molesti	vt обижать, притеснять, третировать, приставать, плохо (или грубо) обходиться с, плохо (или грубо) обращаться с;
molusko	зоол.  моллюск, мягкотелое.
momento	момент, мгновение, миг.
monahxo	монах, инок.
monarhxo	монарх.
monarko	монарх;
monato	месяц (года).
mondo	1. мир (вселенная или её часть;  тж. перен.); 2. мир, свет (планета или её часть;  человеческое общество или его часть);
monedo	орн.  галка (= korveto).
monitoro	1. мор. , тех. , инф.  монитор;  2. ученик-репетитор, помощник учителя из числа учеников;  ученик, помогающий отстающим;  ученик, следящий за порядком в младших классах;  вожатый из числа старших учеников; 3. уст. , см.  varano;
mono	деньги;
monogramo	монограмма, вензель.
monologo	монолог.
monomanio	псих. мономания, навязчивая идея;
monopolo	монополия.
monoteismo	рел., филос.  монотеизм, единобожие.
monoteisto	рел., филос.  монотеист.
monotona	1. монтонный, однообразный; 2. см. unutona;
monstro	прям., перен.  чудовище, урод, монстр.
monto	1. прям. , перен.  гора; 2. maj Гора (название крайне левой партии во время Великой французской революции);  3. анат.  возвышение;
montri	vt показывать, указывать, выказывать;  обнаруживать, проявлять, выявлять;
monumento	прям., перен.  монумент, памятник.
mopso	мопс (порода собак).
moralo	мораль, нравственность;
morbilo	мед. корь.
mordi	vt 1. укусить;  кусать;  кусаться; 2. тех.  протравливать, травить;  морить (дерево); 3. спец.  забирать т.е.  вонзившись зацеплять, захватывать;  врезаться;  впиваться;  сцепляться;
morfino	хим., фарм., мед.  морфин; морфий.
morfologio	грам., биол. морфология;
morgaux	1. adv завтра; 2. см.  ~o;
morhxelo	бот. сморчок (гриб).
morna	поэт. мрачный, удручающий, угрюмый, хмурый, унылый, сумрачный (= preme malgxojiga, malhela).
moro	обычай.
moroza	поэт. пребывающий не в духе, не в настроении; мрачный, подавленный, печальный, угрюмый, унылый (о ком-л.); (= malgajhumora).
mortero	стр.  (строительный) раствор (известковый, цементный).
morti	vn прям. , перен.  умереть;  помереть, скончаться;  пасть;  сдохнуть, подохнуть, издохнуть (о животном);
moruo	ихт.  треска атлантическая.
moruso	бот.  1. тутовое дерево, тут, тута, шелковица; 2. тутовая ягода;
moskeo	мечеть.
moskito	энт.  гнус, мошка, москит, комар (общее название кровососущего насекомого отряда двукрылых).
mosko	мускус;
mosto	муст, свежевыжатый сок, неперебродившее вино.
mosxto	иногда maj. общий титул при обращении к высокопоставленному лицу или упоминании его, часто переводимый словом  милость.
motelo	мотель (отель для автотуристов).
motivo	мотив (тж. муз.), побудительная причина, основание, повод.
motoro	тех.  мотор; прям., перен.  двигатель.
movi	vt двигать, передвигать, приводить в движение;  шевелить;  перемещать;
mozaiko	1. разн.  мозаика;  2. бот.  мозаичная болезнь растений;
mucida	пахнущий плесенью, затхлый.
mueli	vt молоть, перемалывать; дробить; перен.  молоть одно и то же.
mufo	1. муфта (для согревания рук);  2. тех.  муфта, втулка, полый цилиндр;
mugxi	vn реветь, мычать (о быке или корове; тж. перен. – о буре, водопаде, толпе и т.п.).
muko	физиол.  слизь, слизистые выделения, слизистый секрет.
muldi	vt формовать, изготовлять с помощью формовочного устройства; (с)делать, изготовлять, снимать слепок;
mulo	мул.
multa	многий;  многое;  pl многие;
multipliki	vt мат.  умножать, умножить, помножить.
mumio	мумия.
mungi	vt высморкать (= nazpurigi);
municio	воен.  боевые припасы, боеприпасы, боезапас, боекомплект.
munti	vt 1. тех. , кин. , спец.  (с)монтировать;  собирать (механизм);  оправлять, вставлять (или  вделывать) в оправу; 2. инф.  собирать;
murdi	vt (умышленно или преднамеренно) убить (человека), совершить (умышленное или преднамеренное) убийство;
murmuri	vn журчать, бормотать;  бурчать, урчать, ворчать (тж. выражая недовольство);  роптать;
muro	прям., перен.  стена.
muskato	мускатный орех.
muskedo	ист., воен. мушкет.
musko	бот.  мох (лиственный).
muskolo	анат.  мускул, мышца;
muslino	текс. муслин; кисея;
muso	зоол., инф.  мышь.
mustardo	горчица (приправа).
mustelo	зоол. куница (общее название);
musxo	1. муха, мушка, мошка; 2. маленькая бородка в виде небольшого пучка волос под нижней губой;  3. мушка (искусственная родинка на щеке или губе для придания лицу пикантности);
muta	прям., перен.  немой.
mutuala	юр. характеризуемый обоюдными, взаимными гарантиями и обязательствами (об обществе, организации и т.п.);
muzelo	морда, рыло (у животных);
muzeo	музей.
muziko	музыка;
muzo	Σ! иногда maj. муза. // бот.  банан (научное название растений рода банан  = bananujo).
nacio	1. нация; 2. pl народы (библейское название всех языческих народов и племён);
nacionalismo	см. naciismo.
nadlo	1. стрелка (компаса, прибора); 2. спец. иголка, игла (проигрывателя, шприца, карбюратора, примуса, циркуля); 3. мед. игла (хирургическая, акупунктурная); 4. мин. игла, иголка, игольчатый кристалл; 5. спец. боёк (ударника в оружии); 6. перен. игла, пик (скалы, горы, утёса).
naftalino	редк., см. naftaleno.
nafto	(сырая) нефть, нефть-сырец (= kruda petrolo, sxtonoleo);
nagxi	vn 1. плыть, плавать (с помощью плавников, конечностей, частей тела;  тж. перен.;  находиться в более-менее обильной жидкости); 2. см.  flosi.1,2;
naiva	наивный, простодушный, простосердечный.
najado	миф.  наяда, нимфа вод.
najbaro	сосед.
najlo	1. гвоздь;  2. см.  lignonajlo;
najtingalo	соловей.
nankeno	текс. нанка (ткань).
nano	карлик;
napo	бот. брюква.
Narciso	Нарцисс, Наркисс (мифологический персонаж, муж. имя).
narkoti	vt давать наркоз, наркотизировать, усыплять наркозом, усыплять с помощью наркотических средств; одурманивать.
naski	vt 1. (по)рождать, (по)родить, произвести на свет (о женской особи); 2. перен.  (по)рождать; 3. мат.  образовывать (при перемещении  = estigi.2, generi .2);
naso	верша; морда (рыболовное приспособление).
natrio	хим.  натрий;
natro	1. хим.  кальцинированная сода, карбонат натрия (= natria karbonato); 2. мин.  натрит, натрон, минеральная сода.
naturalismo	филос., лит., иск., лингв.  натурализм.
naturalisto	филос., лит., иск., лингв. натуралист.
naturo	природа;  натура;
naux	num де́вять;
nauxzi	vt прям., перен.  тошнить, вызывать тошноту; перен.  вызывать отвращение.
navigacio	редк., см. navigado;
navigi	vn осуществлять навигацию;  передвигаться (на судне или летательном аппарате);  плыть (управляя судном);  лететь (управляя летательным аппаратом);
navo	архит. неф.
nazio	нацист, национал-социалист (= nacisocialisto);
nazo	разн.  нос.
ne	не; нет.
nebulo	прям., перен.  туман.
necesa	необходимый;  нужный, надобный;
Nederlando	гп. Нидерланды;
negativa	1. разн.  негативный;  отрицательный; 2. южный (о полюсе Земли, магнита);  3.: ~a vocxo голос против (при голосовании);
negi	vt отрицать (= nei.2);
neglekti	vt (ion, iun) пренебрегать (чем-л., кем-л.), относиться небрежно, халатно, без внимания (к чему-л., к кому-л.);
negligxo	неглиже, дезабилье (лёгкая домашняя одежда).
negoco	(коммерческое) дело; (торговая) сделка; бизнес.
negro	негр (= nigrulo);
negxo	1. снег; 2. разг.  кокаин (= kokaino);
nek	konj (употребляется только в паре: либо после другого отрицательного слова, либо в сочетании с другим nek) ни; и не.
nekrologo	некролог.
nektaro	1. миф.  нектар;  2. бот.  (цветочный) нектар (= flormielo);
nenia	korelativa pron-adj никакой (если речь не идёт об одном из ограниченного, определённого числа).
nenial	korelativa adv безо всякой причины, беспричинно, ни по какой причине, нипочему, низачем, просто так.
neniam	korelativa adv никогда.
nenie	korelativa adv нигде.
neniel	korelativa adv никак, никоим образом.
nenies	korelativa pron ничей (= de neniu).
nenio	korelativa pron ничто.
neniom	korelativa adv нисколько; ничуть.
neniu	1. korelativa pron никто;  ни один; 2. korelativa adj никакой (из других подобных);  ни один;
neologo	лингвист, писатель или поэт, вводящий в язык неологизмы; изобретатель неологизмов, автор неологизмов.
neono	I хим. неон;   ///  II сомнит.; ихт. неоновая рыбка, неон;
nepo	внук.
nepotismo	непотизм, семейственность, кумовство.
nepre	непременно, обязательно.
nervo	1. нерв. 2. см.  nervuro .2.
nervoza	1. нервозный, нервный (= nerva.2); 2. псих. невротический;
nesto	гнездо (птицы, животного; тж. перен.).
neta	1. чистовой, беловой; 2. тех.  чистый (точно обработанный по поверхности, ровный, не шершавый);  3. спец.  чистый (сосчитанный без приложения, не включающий не относящиеся к делу дополнения);
neuxro	(только в сложных словах) спец., анат.  нерв (= nervo).
neuxtra	1. средний, нейтральный; 2. бот.  бесполый;
neuxtrala	нейтральный, соблюдающий нейтралитет, придерживающийся нейтралитета;
nevo	Σ! 1¶ племянник. 2¶ гп. maj. Нева (река).
nevuso	родимое пятно, родинка, невус;
ni	pers pron мы.
nicxo	ниша.
nigra	прям. , перен.  чёрный;  тёмный, мрачный;  вороной;
nihilismo	нигилизм.
nihilisto	нигилист.
Nikaragvo	гп. Никарагуа.
nikelo	никель.
Nikodemo	Никодим (муж. имя).
Nikolao	Николай (муж. имя);
nikotino	хим.  никотин.
nikso	миф.  водяной (дух), дух воды, никс
nilono	нейлон;
nimbo	разн.  нимб, сияние; мет.  венец.
nimfeo	бот. нимфея, кувшинка, водяная лилия (= akvolilio, akvorozo);
nimfo	1. миф.  нимфа (тж. перен. – о красивой молодой девушке);  2. энт.  нимфа (куколка, личинка у членистоногих с неполным превращением);  3. анат.  малая половая (или  срамная) губа (= vulva lipeto, minora vulva labio);
nivelo	уровень (но не прибор!);
nizo	орн. ястреб-перепелятник.
nobelo	Σ! 1¶  дворянин.   2¶ maj. Нобель (шведский предприниматель, основатель Нобелевской премии).
nobla	благородный; великодушный.
noci	vt (по)вредить, причинить вред, причинять вред; (= malutili al);
nocio	понятие;
nodo	1. узел (но не увязанные в кусок ткани вещи, не часть механизма или устройства, не помещение с сантехникой, не предприятие связи); 2. узловой пункт, центральный пункт; 3. бот.  узел (стебля);
nokto	ночь;
noktuo	орн.  1. обыкновенный домовой сыч;  2. сомнит. ;  энт.  совка, ночница (бабочка);
nomado	кочевник, номад.
nombro	число; численность.
nominala	номинальный.
nominativo	грам.  именительный падеж, номинатив.
nomo	имя; название, наименование; кличка (домашнего животного).
nordo	север; норд (страна света, но не ветер!).
normala	нормальный (тж. мат., геом.);  обычный, типичный;
normo	норма;  норматив;  эталон, образец;  стандарт;
norvego	норвежец;
nostalgio	ностальгия, тоска по родине, тоска по родному дому (= hejmveo, hejmsopiro).
notario	нотариус.
noti	vt сделать заметку, взять на заметку, отметить, пометить, записать;
nova	1. новый; 2. новый, молодой (о луне;  о продуктах урожая);
novalo	с.-х. пар, поле (или земля) под паром, отдыхающее от посевов поле (или земля);
novelo	лит.  повесть, рассказ, новелла.
novembro	иногда maj ноябрь.
novico	1. рел.  послушник;  2. перен.  новичок (в каком-л. деле, профессии, занятии);  перен. , разг.  салага;
nu	Σ! 1. interj ну (междометие, употребляемое для побуждения, привлечения внимания, выражения истинного или показного согласия);  2. konj ну, ну так вот (союз, употребляемый для введения нового факта или второй посылки силлогизма). // ню (ν, название буквы греч. алфавита).
nuanco	прям., перен.  оттенок, нюанс, переход (тонов).
nubo	облако, туча (тж. перен.);  клуб (дыма и т.п.);
nuda	прям. , перен.  голый, нагой, обнажённый;
nudelo	кул. лапша;
nudeloj	кул. лапша;
nukleo	1. ядро (атома = atomkerno; клетки = cxelkerno, cxelnukleo); 2. археол. заготовка каменного орудия;
nuko	1. задняя часть шеи;  затылок; 2. шея, выя (как символ гордости, независимости);
nukso	1. орех (общее название ряда различных плодов и семян); 2. кул.  мягкая часть телячьей ноги, телячье бедро, телячий окорок;
nul	num ноль, нуль;
numero	номер (порядковое число предмета в ряду других; сам предмет, обозначенный порядковым числом).
numismato	нумизмат.
nun	adv теперь, сейчас, ныне, нынче.
nuncio	нунций, папский посол, дипломатический представитель папы римского;
nupto	свадьба, бракосочетание, венчание (= geedzigxa festo, edzigxfesto);
nur	adv только;  (только) лишь, (всего) лишь;
nutri	vt разн.  питать, подпитывать, выкармливать, кормить, покормить, накормить, прокормить.
oazo	прям., перен.  оазис.
obei	vt (iun, ion) повиноваться, подчиняться (кому-л., чему-л.), слушаться (кого-л., чего-л.).
obelisko	обелиск.
objektiva	Σ! 1¶  разн.  объективный.   2¶  1. физ.  объектив (часть оптического прибора, напр. фотоаппарата);  2. оч.редк.;  воен.  цель, атакуемый или обстреливаемый объект (= celo).
objekto	1. предмет, вещь, объект;  2. грам.  дополнение (относящееся к сказуемому  = objekta komplemento);
objxeti	vt возражать;
oblato	1. разн.  облатка;  2. кул.  корж (как основа для торта);  3. см.  hostio.
obligacio	1. фин.  облигация;  2. юр.  обязанность, обязательство;
oblikva	1. косой (но не «страдающий косоглазием»!);  наклонный;  покатый; 2. окольный (о дороге, пути, направлении);
obolo	обол (старинная монета).
obsedi	vt неотвязно преследовать, одолевать, мучить (о навязчивой идее, страхе и т.п.);
observatorio	астр.  обсерватория.
observi	vt 1. наблюдать, следить; 2. соблюдать, блюсти (правила, обычаи и т.п.), следовать (правилам, обычаям и т.п.);
obskura	1. прям., перен. тёмный, мрачный, неясный, смутный (= malluma); 2. неизвестный, незнакомый, безвестный, ничем не знаменитый, ничем не зарекомендовавший себя;
obstaklo	препятствие, помеха, преграда, препона;
obstina	упрямый.
obstrukco	1. обструкция; 2. закупорка; затор, преграда, завал;
obtuza	1. глухой, приглушённый (о звуке, чувстве и т.п.); тупой, притуплённый (о боли, чувстве и т.п.); 2. геом. тупой (об угле);
oceano	Σ! 1¶  прям. , перен.  океан.   2¶ maj. Океан (бог морей в др.-греч. мифологии).
odo	ода.
odori	vn прям., перен.  пахнуть; издавать запах.
ofendi	vt оскорблять, обижать.
ofensivo	воен. наступление, наступательные действия;
oferi	vt (по)жертвовать, принести в жертву (тж. рел.);
oferti	vt ком. предлагать (товар, услугу);
oficiala	официальный.
oficiro	офицер.
ofico	должность, служба.
ofte	часто (много раз, во многих случаях); зачастую.
ogivo	1. архит.  стрельчатая арка (= pintarko, rompita arko);  2. спец.  оживал, оживальная часть (обтекаемого тела, снаряда);  обтекатель (ракеты);
ok	num восемь.
okazi	vn случиться, совершиться, состояться, произойти;  приключиться, стрястись;
okcidento	разн.  запад.
okro	охра (минеральный краситель).
oksido	хим.  оксид, окись, окисел.
oksigeno	хим.  кислород;
oksikoko	бот.  1. клюква (растение);  2. см.  oksikokbero;
oktanto	1. геом.  октант;  2. астр.  октант, октан (угломерный инструмент);  3. maj;  астр.  Октант (созвездие).
oktavo	Σ! 1¶  1. см.  okto;  2. лит.  октава, восьмистишие;  3. полигр.  (типографский) лист, складываемый трижды (для получения формата ин-октаво);  книга форматом в одну восьмую листа, книга (формата) ин-октаво (= inoktavo); 4. церк.  восьмидневье (праздничный день вместе с предшествующей или последующей неделей;  восемь дней до или после праздника).   2¶ maj. Октаво (муж. имя).
oktobro	октябрь.
okulo	1. глаз, око; 2. бот.  глазок, почка (= burgxono.1);
okulta	оккультный.
okupi	vt 1. занимать (место, время, должность, внимание и т.п.);  оккупировать; 2. см.  ekokupi;
okzalo	бот.  щавель кислый (или  обыкновенный).
ol	konj чем, как (при исключающем сравнении), нежели;
olda	поэт.  старый (обычно о возрасте  = maljuna).
oleandro	бот.  1. олеандр обыкновенный; 2. олеандра (папоротник);
oleo	Σ! 1. масло (растительное или минеральное, но не сливочное!);  жир (жидкий, вытопленный, – рыб и морских животных);  олифа (в качестве растворителя для масляных красок);  2. (в качестве сокращённой формы от  sxtonoleo) см.  nafto, petrolo. // бот.  маслина (растение), масличное дерево;
oligarhxo	олигарх
oligarko	олигарх;
olimpia	олимпийский (относящийся к Олимпии);
olivo	маслина, олива, оливка (плод).
omagxo	1. ист. обет верности (приносимый вассалом феодалу, сеньору); 2. дань уважения, уважение, почтение, признательность; знак почтения, уважения, признательности;
omaro	Σ! 1¶  зоол.  омар.   2¶  maj. Омар (арабское муж. имя).
ombrelo	зонт, зонтик.
ombro	тень (тж. жив.).
omnibuso	омнибус.
ondo	разн.  волна.
oni	pers pron.
onikso	мин. оникс;
onklo	дядя (брат отца или матери; супруг тётки).
onobriko	бот. эспарцет;
onomatopeo	лингв. ономатопея, звукоподражание;
opalo	мин.  опал.
operacio	1. разн.  операция; 2. мат.  действие;
opero	опера (муз. произведение).
opinii	vt полагать, считать, думать, иметь мнение.
opio	опиум, опий.
oponi	vn оппонировать, возражать; высказывать (или отстаивать) противоположные взгляды;
oportuna	удобный.
opozicio	1. оппозиция;  противостояние, противодействие, сопротивление; 2. астр.  оппозиция, противостояние;  3. физ.  нахождение в противофазе, в противоположных фазах;
optativo	грам. оптатив, желательное наклонение (= dezira modo).
optiko	оптика (раздел физики);
optimismo	оптимизм.
optimisto	оптимист.
orakolo	1. пророчество, прорицание, предсказание;  2. оракул;
orangutango	зоол. орангутан(г)
orangxerio	оранжерея, теплица.
orangxo	Σ! 1¶  апельсин (плод).
oratorio	1. муз.  оратория;  2. церк.  молельня, молельная комната (отдельное помещение для молитв в церкви, замке, дворце и т.п.);  3. maj;  церк.  Оратория (католическое общество);
oratoro	оратор.
orbito	1. астр., физ. орбита; 2. анат. орбита, глазница, глазная впадина (= okulkavo); 3. перен. орбита, сфера деятельности, сфера влияния;
ordeno	1. орден (монашеское или рыцарское общество;  общество лиц, имеющих определённую награду); 2. орден, орденский знак (награда); 3. корпорация, объединение, союз (работников свободной профессии);
ordinara	обычный, обыкновенный, заурядный, рядовой, ординарный.
ordo	1. порядок; 2. воен.  порядок, строй; 3. архит.  ордер, орден;  4. бот.  порядок;  5. зоол. , орн. , ихт. , энт.  отряд;  6. мат.  порядок (дифференциального уравнения, группы и т.п.);  7. сословие, разряд;
ordoni	vt приказывать, повелевать, велеть, предписывать; прописывать (лекарство).
orelo	1. ухо; 2. перен.  ручка (напоминающая контуром ухо, напр., о чашке  = anso.1);
orfo	сирота (о мальчике).
organika	хим.  органический (относящийся к соединениям углерода).
organismo	организм.
organizi	vt организовывать;
organo	1. разн.  орган; 2. муз.  голос;
orgasmo	физиол. оргазм;
orgeno	муз.  орган.
orgio	оргия.
orgojlo	спесь, заносчивость, надменность, чванство, гордыня, гонор;
oriento	1. разн.  восток; 2. спец.  особый блеск, восточный блеск (у жемчуга);
originala	1. оригинальный, подлинный;  2. оригинальный, самобытный, своеобразный;  причудливый;  3. редк. , см.  origina;
origino	1. происхождение, возникновение, начало; 2. мат.  начало (прямоугольных) координат;
oriolo	орн. иволга;
orkestro	1. разн.  оркестр;  2. ист.  орхестра;
orkideo	бот. орхидея;
ornami	vt украшать; орнаментировать.
ornitologo	орнитолог.
oro	прям. , перен.  золото;
orografio	геогр.  орография.
orto	геом. прямой угол (= orta angulo);
ortodoksa	1. ортодоксальный, правоверный;  2. рел.  православный (= grekkatolika.2, ortodoks-kristana);
ortografio	орфография, правописание.
ortopedio	мед.  ортопедия.
oscedi	vn зевать, зевнуть; перен.  зиять.
osto	кость;
ostracismo	остракизм.
ostro	зоол.  устрица.
ovacio	овация.
ovala	овальный.
ovo	яйцо;
ozono	хим.  озон.
pacienco	терпение.
paciento	пациент.
Pacifiko	гп. Тихий океан (= Paca Oceano).
pacifismo	пацифизм;
pacifisto	пацифист;
paco	1. мир (отсутствие войны, распрей, ссор);  2. мир, покой (душевное спокойствие).
pacxulo	пачули (растение; духи из этого растения).
pado	тропа, тропка, тропинка;  ///  maj. гп. По (река в Италии, в древности называвшаяся Пад);
pafi	vt стрелять, выстрелить;
pagi	vt платить, уплатить, заплатить;  выплатить;  оплатить;  расплатиться;  поплатиться;
pagodo	архит.  пагода.
pagxio	1. паж;  2. см.  fanto.
pagxo	прям., перен.  страница.
pajaco	паяц, шут;
pajlo	солома.
paki	vt паковать, упаковывать, запаковывать;
Pakistano	гп. Пакистан.
pala	прям., перен.  бледный.
palaco	дворец, чертог; хоромы, палаты; особняк; палаццо.
palankeno	паланкин, носилки (для знатных особ);
palatalo	1. анат. нёбная кость (= palata osto, palatosto); 2. фон. палатальный (или твердонёбный) согласный (звук) (= palata konsonanto, palata (parol)sono, palatsono);
palato	анат.  нёбо;
palavro	долгое препирательство, переговоры, торг;
paleografo	палеограф;
paleontologo	палеонтолог.
paletro	прям., перен.  палитра.
palinuro	зоол. лангуст(а) (= langusto);
palisandro	палисандр, палисандровое дерево (древесина);
paliso	1. кол, заострённый шест, заострённая жердь (тж. в качестве подпорки для подвязки деревьев, кустов и т.п.);  2. спец.  столб (геральдическая фигура);
palmo	пальма.
palpebro	веко.
palpi	vt щупать, трогать, осязать;  мед.  пальпировать;
palto	пальто.
pamfleto	памфлет.
Panamo	гп. Панама. См! https://rueo.ru/sercxo/Panamo
panelo	1. архит.  панно;  панель;  филёнка;  2. тех.  панель управления, щит управления, приборный щит, приборная доска, распределительная доска;  3. ав. , авт.  торпедо, панель управления, приборная панель, передняя панель, щиток управления, приборный щиток (у транспортного средства  = stirpanelo);  4. щит (рекламный, информационный, пропагандистский и т.п.);  растяжка (натянутое на раму полотно с рекламой, изображением, лозунгами и т.п.);
paneo	1. мор. лежание в дрейфе, залегание в дрейф, временная остановка движения; 2. тех. остановка, отказ (механизма, аппарата, транспортного средства и т.п. в результате неисправности, поломки, аварии и т.п.); 2. тех. заглохнуть, стать, остановиться, отказать, перестать работать (в результате неисправности, поломки, аварии).
paniko	Σ! паника.  // см.  panico.
pankreato	анат. панкреас, поджелудочная железа;
pano	Σ! 1¶  хлеб (выпеченный из муки;  тж. перен.). 2¶  см.  maj. Pajno.
panoramo	панорама.
pantalono	брюки, штаны;
panteismo	пантеизм;
panteisto	пантеист.
pantero	зоол.  пантера, барс, леопард (= leopardo).
pantoflo	(домашняя) туфля; тапка, тапочка; чувяк.
pantomimo	пантомима.
papago	попугай (тж. перен. о человеке); попка.
papavo	бот.  мак (растение).
papero	бумага (тж. перен. о документе;  но не о хлопке как материале!);
papilio	энт.  бабочка, мотылёк.
papiruso	папирус (растение  = papiruscipero; бумага из этого растения; манускрипт на этой бумаге).
papo	папа (римский).
papriko	1. бот.  паприка, красный стручковый перец;  плоды красного стручкового перца;  2. кул.  красный перец (порошок, специя  = rugxa pipro);
parabolo	1. геом.  парабола;  2. лит.  притча;
paradi	vn 1. проходить парадом, (парадным) строем, (парадным) маршем;  маршировать;  шествовать;  2. перен.  быть при (полном) параде;  щеголять;
paradigmo	1. лингв.  парадигма, таблица формоизменения;  2. филос.  парадигма.
paradizo	рай.
paradokso	парадокс.
parafino	парафин.
parafo	росчерк, завитушка, закорючка (в подписи); сокращённая подпись; параф.
parafrazo	парафраз(а), развёрнутый пересказ, развёрнутое изложение.
paragrafo	параграф (знак; текст под этим знаком).
Paragvajo	гп. Парагвай (государство).
paralela	разн.  параллельный;
paralelogramo	геом. параллелограмм.
paralizi	vt прям., перен.  парализовать.
parametro	параметр;
parasxuto	парашют (= falsxirmilo);
parazito	разн.  паразит; тунеядец; дармоед.
parcelo	земельный участок; надел; парцелла.
pardoni	vt (ion al iu; iun pri io) простить, извинить (что-л. кому-л.; кого-л. за что-л.).
parenco	родственник.
parentezo	1. грам.  вводное слово;  вводное предложение, вводная фраза;  (отделённые круглыми скобками или тире);  2. скобки (обычно о круглых);
parfumo	духи (в ед. числе); перен.  приятный запах, парфюм, благовоние.
pargeto	паркет.
pario	1. прям. , перен.  пария;  изгой;  бесправный и всеми унижаемый человек;  отверженный (сущ.);  неприкасаемый (сущ.);  2. редк. , см.  parieto.
Parizo	гп. Париж;
parkere	наизусть;
